Course,Handed,Sex,Verbal,Age
Natural,left,female,520,18.67
 Social,right,female,550,20.25
 Social,right,female,550,19.08
 Social,right,male,680,18.58
 Social,right,female,NA,18.42
 Social,left,female,NA,NA
 Social,right,female,490,19
Natural,right,male,740,24.5
Natural,right,female,630,18.5
Natural,right,female,550,19.5
Natural,right,female,600,18.92
Natural,right,female,590,19.33
Natural,right,female,610,20.25
Natural,right,female,400,19.75
Natural,right,male,750,19.58
Natural,right,female,610,18.83
Business,right,male,NA,22.92
 Social,right,male,540,22.75
Natural,right,female,600,20.92
Natural,right,male,400,22.25
 Social,right,female,590,19.25
Natural,right,female,635,21.75
 Social,left,female,550,19.25
 Social,right,male,610,18.75
 Social,right,female,490,18.58
 Social,right,female,NA,21.5
 Social,right,male,610,19.83
 Social,right,female,690,18.42
 Social,right,male,540,18.83
Natural,right,male,550,18.75
 Social,right,female,460,20.42
 Social,right,female,580,19.17
 Social,right,male,600,30.33
Natural,right,male,600,20.08
Natural,right,male,430,18.75
 Social,right,female,600,20.58
 Social,right,female,570,18.5
Natural,right,female,670,19.17
 Social,right,male,540,18.67
Natural,right,male,560,20.25
 Social,right,female,550,19.17
 Social,right,female,NA,21.92
Natural,right,male,660,18.75
 Social,right,female,NA,22.33
 Social,right,female,590,19.92
Natural,right,female,530,21.58
 Social,left,male,500,22.67
 Social,right,female,620,18.58
Natural,right,female,560,18.83
Natural,right,male,600,22.58
 Social,right,female,570,19.33
 Social,right,male,600,20.67
 Social,right,female,550,22.5
 Social,right,female,650,20.17
 Social,right,male,670,20.83
 Social,right,female,570,20
 Social,right,female,510,21.33
 Social,right,female,600,19.92
 Social,left,male,510,19.25
 Social,right,female,490,19.08
 Social,right,male,555,21.42
 Social,right,female,500,19
 Social,right,male,670,19.33
 Social,right,female,600,19.42
 Social,right,male,540,29.75
 Social,right,female,NA,18.67
 Social,right,male,580,20.83
 Social,right,female,400,20.17
 Social,right,female,580,24.17
 Social,left,female,560,18
 Social,right,male,540,19.08
 Social,left,female,520,20.83
 Social,right,male,620,20
 Social,right,female,NA,22.25
 Social,left,female,800,19.58
 Social,right,female,510,20.17
 Social,left,female,520,21.67
 Social,right,male,480,20.42
 Social,right,female,500,19.25
