Course,Handed,Sex,Verbal,Age
Business,right,female,540,19.17
Business,right,female,650,19.92
Business,right,female,680,18.58
Business,right,female,620,19.25
Business,right,male,560,18.58
Business,right,male,NA,18.33
Business,right,male,600,22.92
Business,right,female,610,18.58
Business,right,female,500,18.33
Business,left,male,580,20.5
Business,right,female,510,18.42
Business,right,female,NA,18.5
Business,right,male,500,20.17
Business,right,male,590,19.42
Business,right,female,530,18.25
Business,right,female,650,19.17
Business,right,female,670,20.08
Business,left,male,450,21.58
Business,right,female,NA,18.75
Business,left,male,690,20
Business,right,female,440,18.83
Business,right,male,560,20.42
Business,right,female,580,19.67
 Social,left,male,630,20.58
Business,right,male,640,74.17
Business,right,female,690,20.83
Business,right,female,690,19.67
Business,right,male,550,19.5
Business,right,female,590,19.33
Business,right,male,600,20.25
Business,right,male,620,20.5
Business,right,male,590,19.5
Business,right,male,530,18
Business,right,female,660,19.42
Business,right,female,550,18.25
Business,right,female,640,20.83
Business,right,male,NA,18.75
Business,right,male,NA,18.67
Business,right,female,660,20.92
Business,right,female,500,18.5
Business,right,male,590,20.17
Business,right,male,650,18.17
Business,right,female,625,19.33
 Social,right,male,640,23.75
 Social,right,female,550,22.58
 Social,left,female,480,21.5
 Social,right,female,640,21.5
 Social,right,female,480,20.5
Business,right,female,600,18.33
 Social,right,male,570,18.67
 Social,right,female,600,18.58
Business,right,male,620,22
Business,right,female,630,20.25
Business,left,male,760,23
 Social,right,male,470,18.75
Business,right,male,580,18.83
Business,right,female,590,19.42
 Social,right,male,540,18.08
Business,right,male,610,19.33
Business,right,male,540,20.25
Business,right,female,620,19.42
Business,right,male,600,19.83
Business,left,female,NA,20.08
Business,right,female,550,50.83
Business,right,female,510,20.5
Business,right,female,680,19.08
Business,right,male,620,19.17
Business,right,female,540,18.67
Business,right,female,670,18.33
Business,right,female,650,18.67
Business,right,male,550,19.08
Business,right,male,620,19.67
Business,right,female,630,19.5
Business,right,male,620,19.42
Business,right,male,660,19.33
Business,right,female,590,18.75
Business,right,female,340,19.75
Business,right,female,560,20.33
Business,right,male,540,18.92
Business,right,male,NA,20.17
Business,right,male,580,20.92
Business,right,male,430,18.92
Business,right,female,550,19.33
Business,right,female,530,19.92
Business,right,female,620,19.67
Business,right,female,600,18.58
Business,right,female,NA,18.67
Business,right,male,640,21.5
Business,right,female,560,20.33
Business,right,male,570,19.58
Business,left,female,680,18.42
Business,right,female,490,18.67
Business,right,female,640,19.58
Business,right,female,620,21.33
Business,right,female,410,18.75
Business,right,male,560,23.17
Business,right,male,620,19.58
Business,right,female,560,20.5
Business,right,female,630,18.75
Business,right,female,540,18.67
Business,right,female,520,19.92
Business,right,male,730,21.58
Business,right,male,570,19.5
Business,right,female,530,18.17
Business,right,female,550,19.08
Business,right,male,670,21.08
Business,right,female,570,20.25
Business,right,female,520,19.92
Business,left,female,NA,20.42
Business,right,male,500,26.42
Business,right,male,NA,20.08
Business,right,female,580,19.75
Business,right,male,425,20.58
Business,right,female,680,21.5
Business,right,female,650,19
Business,right,male,NA,19.25
Business,right,female,560,19.25
 Social,right,male,580,20.42
 Social,right,female,530,19.33
 Social,right,female,NA,19.67
 Social,right,male,500,19.58
 Social,right,female,430,19.5
Business,right,male,670,20.67
Business,right,female,550,21.17
Business,right,male,570,19.67
Natural,right,female,555,19.83
Natural,right,female,600,22
Natural,right,female,520,21.83
Natural,right,female,NA,22.25
